Record Type,Make,Body Type,Vehicle Category
VEH,BI/WH,S/SP,Combination Short-haul Truck
VEH,JAG,4DSD,Combination Long-haul Truck
VEH,LOTUS,2DSD,Other Buses
VEH,RUPP,MCY,Motorcycle
VEH,WE/ST,UTIL,Transit Bus
VEH,INTE,SUBN,Combination Short-haul Truck
VEH,IHC,2DSD,Other Buses
VEH,INTL,2DSD,Other Buses
VEH,SCOUT,2DSD,Other Buses
VEH,OTTAW,TRAC,Passenger Car
VEH,SCOUT,SUBN,Combination Short-haul Truck
VEH,JEEPS,CONV,Light Commercial Truck
VEH,INTL,UTIL,Transit Bus
VEH,TMC,H/WH,Motor Home
VEH,SCAR,CONV,Light Commercial Truck
VEH,FORD,CUST,School Bus
VEH,AUSTI,TAXI,Single Unit Long-haul Truck
VEH,WALKE,S/SP,Combination Short-haul Truck
VEH,STANL,4DSD,Combination Long-haul Truck
VEH,AMGEN,UTIL,Transit Bus
VEH,HOMEM,CONV,Light Commercial Truck
VEH,JAMBO,H/WH,Motor Home
VEH,AMG,FIRE,Light Commercial Truck
VEH,AMG,PICK,Passenger Truck
VEH,PIAGG,MOPD,Light Commercial Truck
VEH,WALTE,SN/P,Other Buses
VEH,TRIUM,2DSD,Other Buses
VEH,IH,PICK,Passenger Truck
VEH,CUMMI,T/CR,Single Unit Short-haul Truck
VEH,MANIT,T/CR,Single Unit Short-haul Truck
VEH,WILYS,SUBN,Combination Short-haul Truck
VEH,MOGU,MCY,Motorcycle
VEH,MORRI,CONV,Light Commercial Truck
VEH,DEMAG,TR/C,Refuse Truck
VEH,MOTRO,MCY,Motorcycle
VEH,MOTOB,MCY,Motorcycle
VEH,VESPA,MOPD,Light Commercial Truck
VEH,CITR,4DSD,Combination Long-haul Truck
VEH,ASVE,MCY,Motorcycle
VEH,MACK,TRAC,Passenger Car
VEH,TIOGA,H/WH,Motor Home
VEH,GMC,????,Motorcycle
VEH,IHC,UTIL,Transit Bus
VEH,OT/WA,TRAC,Passenger Car
VEH,EXCAL,SEDN,Single Unit Long-haul Truck
VEH,WHITE,TRAC,Passenger Car
VEH,MSNIT,SWT,Single Unit Long-haul Truck
VEH,GLS,CONV,Light Commercial Truck
VEH,TROJA,RBM,Single Unit Short-haul Truck
VEH,JA/RA,H/WH,Motor Home
VEH,TROJA,P/SH,Motor Home
VEH,TROJA,????,Motorcycle
VEH,TORJA,RBM,Single Unit Short-haul Truck
VEH,MAXWE,SEDN,Single Unit Long-haul Truck
VEH,BATAV,MCY,Motorcycle
VEH,KOBEL,P/SH,Motor Home
VEH,MERCE,CONV,Light Commercial Truck
VEH,AL/RO,CONV,Light Commercial Truck
VEH,ATTEX,ATV,Refuse Truck
VEH,CATTR,P/SH,Motor Home
VEH,INTER,????,Motorcycle
VEH,INTER,TR/C,Refuse Truck
VEH,INTER,W/DR,Single Unit Short-haul Truck
VEH,INTER,FIRE,Light Commercial Truck
VEH,KUBOT,SWT,Single Unit Long-haul Truck
VEH,WHITE,DUMP,School Bus
VEH,RAMBL,SUBN,Combination Short-haul Truck
VEH,MCI,H/WH,Motor Home
VEH,HENDR,TRAC,Passenger Car
VEH,KUBOT,P/SH,Motor Home
VEH,ATHEY,RBM,Single Unit Short-haul Truck
VEH,CHAMP,RBM,Single Unit Short-haul Truck
VEH,CHAMP,P/SH,Motor Home
VEH,CATER,TR/E,Transit Bus
VEH,MAXWE,4DSD,Combination Long-haul Truck
VEH,LIMA,TR/C,Refuse Truck
VEH,JAGU,4DSD,Combination Long-haul Truck
VEH,GMC,BUS,Passenger Car
VEH,YOUNG,FIRE,Light Commercial Truck
VEH,LA/SE,MCY,Motorcycle
VEH,CONDO,MCY,Motorcycle
VEH,DODGE,SEDN,Single Unit Long-haul Truck
VEH,CADIL,LIM,Combination Long-haul Truck
VEH,MACK,UTIL,Transit Bus
VEH,SEAGR,STAK,Combination Long-haul Truck
VEH,JAWA,MCY,Motorcycle
VEH,REO,2DSD,Other Buses
VEH,FIAT,2DSD,Other Buses
VEH,WALTE,RBM,Single Unit Short-haul Truck
VEH,ROGER,TRLR,Combination Short-haul Truck
VEH,OAKLA,2DSD,Other Buses
VEH,CUSTO,FLAT,Combination Short-haul Truck
VEH,TIGER,RBM,Single Unit Short-haul Truck
VEH,DYNAP,R/RD,Passenger Truck
VEH,CHAMP,EMVR,Passenger Car
VEH,WALTE,????,Motorcycle
VEH,CUTT,CONV,Light Commercial Truck
VEH,WHITE,S/SP,Combination Short-haul Truck
VEH,CUSTO,ATV,Refuse Truck
VEH,POWER,RBM,Single Unit Short-haul Truck
VEH,MESSE,2DSD,Other Buses
VEH,DESOT,4DSD,Combination Long-haul Truck
VEH,ATHEY,P/SH,Motor Home
VEH,ATHEY,RD/S,School Bus
VEH,MOBIL,RD/S,School Bus
VEH,VELOS,MCY,Motorcycle
VEH,EDSEL,CONV,Light Commercial Truck
VEH,ANGLI,2DSD,Other Buses
VEH,PENTO,MCY,Motorcycle
VEH,LOTUS,CONV,Light Commercial Truck
VEH,NEWHO,P/SH,Motor Home
VEH,CHAMP,UTIL,Transit Bus
VEH,MO/GR,UTIL,Transit Bus
VEH,CATIL,RBM,Single Unit Short-haul Truck
VEH,CITRO,SEDN,Single Unit Long-haul Truck
VEH,ATHEY,EMVR,Passenger Car
VEH,BMW,SEDN,Single Unit Long-haul Truck
VEH,INTER,TOW,Transit Bus
VEH,INTER,S/SP,Combination Short-haul Truck
VEH,NEVAL,MCY,Motorcycle
VEH,WALTE,DUMP,School Bus
VEH,ATLAS,RBM,Single Unit Short-haul Truck
VEH,BROC,DUMP,School Bus
VEH,CEMMI,????,Motorcycle
VEH,FLAND,CONV,Light Commercial Truck
VEH,REO,4DSD,Combination Long-haul Truck
VEH,IHC,PICK,Passenger Truck
VEH,HUDSO,PICK,Passenger Truck
VEH,FWD,DUMP,School Bus
VEH,LINK,TR/C,Refuse Truck
VEH,AM/LA,FLAT,Combination Short-haul Truck
VEH,SINGE,4DSD,Combination Long-haul Truck
VEH,CHANG,MCY,Motorcycle
VEH,JAG,2DSD,Other Buses
VEH,GEHL,RBM,Single Unit Short-haul Truck
VEH,SACHS,MCY,Motorcycle
VEH,INTER,P/SH,Motor Home
VEH,INTER,TANK,Other Buses
VEH,CHRYL,2DSD,Other Buses
VEH,CH/JI,MCY,Motorcycle
VEH,JACOB,UTIL,Transit Bus
VEH,JACOB,TRAC,Passenger Car
VEH,JACOB,SWT,Single Unit Long-haul Truck
VEH,JACOB,S/SP,Combination Short-haul Truck
VEH,JACOB,RBM,Single Unit Short-haul Truck
VEH,JACOB,????,Motorcycle
VEH,TEREX,T/CR,Single Unit Short-haul Truck
VEH,VOLVO,P/SH,Motor Home
VEH,MICHI,P/SH,Motor Home
VEH,OSHK,RBM,Single Unit Short-haul Truck
VEH,BMW,CONV,Light Commercial Truck
VEH,CHYRS,4DSD,Combination Long-haul Truck
VEH,JACOB,SN/P,Other Buses
VEH,KENWO,FIRE,Light Commercial Truck
VEH,LOTU,CONV,Light Commercial Truck
VEH,BUICK,PICK,Passenger Truck
VEH,LE/BO,RBM,Single Unit Short-haul Truck
VEH,ITASC,H/TR,Light Commercial Truck
VEH,KCM,P/SH,Motor Home
